timestamp,datetime,open,high,low,close,volume
1678384800000,2023-03-10 01:00:00,1829.265,1830.973,1828.191,1830.582,3471
1678386600000,2023-03-10 01:30:00,1830.551,1834.998,1830.07,1834.966,2702
1678388400000,2023-03-10 02:00:00,1834.928,1834.992,1831.949,1831.949,2783
1678390200000,2023-03-10 02:30:00,1831.969,1832.576,1830.347,1830.512,2273
1678392000000,2023-03-10 03:00:00,1830.545,1831.066,1828.954,1830.107,2615
1678393800000,2023-03-10 03:30:00,1830.137,1831.645,1829.99,1830.494,2487
1678395600000,2023-03-10 04:00:00,1830.524,1832.155,1830.415,1830.794,1105
1678397400000,2023-03-10 04:30:00,1830.785,1831.144,1830.71,1830.847,606
1678402800000,2023-03-10 06:00:00,1831.341,1831.859,1830.617,1831.389,787
1678404600000,2023-03-10 06:30:00,1831.371,1832.295,1831.224,1831.569,937
1678406400000,2023-03-10 07:00:00,1831.565,1834.77,1831.356,1834.719,1767
1678408200000,2023-03-10 07:30:00,1834.752,1834.83,1833.545,1834.054,1737
1678410000000,2023-03-10 08:00:00,1834.047,1834.138,1830.095,1831.112,2241
1678411800000,2023-03-10 08:30:00,1831.147,1831.909,1830.515,1831.015,1892
1678413600000,2023-03-10 09:00:00,1831.045,1833.184,1830.758,1830.758,1932
1678415400000,2023-03-10 09:30:00,1830.79,1830.856,1828.075,1829.427,3576
1678417200000,2023-03-10 10:00:00,1829.394,1829.581,1828.453,1828.546,1594
1678419000000,2023-03-10 10:30:00,1828.535,1830.037,1828.306,1829.2,1400
1678420800000,2023-03-10 11:00:00,1829.202,1829.541,1827.702,1828.983,1533
1678422600000,2023-03-10 11:30:00,1829.001,1830.16,1828.615,1829.745,1236
1678424400000,2023-03-10 12:00:00,1829.737,1830.255,1828.53,1829.398,1241
1678426200000,2023-03-10 12:30:00,1829.396,1831.261,1828.754,1830.964,1792
1678428000000,2023-03-10 13:00:00,1830.93,1832.738,1830.773,1831.458,1464
1678429800000,2023-03-10 13:30:00,1831.451,1831.769,1830.164,1830.679,1492
1678431600000,2023-03-10 14:00:00,1830.663,1834.654,1830.663,1833.3,2576
1678433400000,2023-03-10 14:30:00,1833.285,1834.645,1831.954,1833.516,2413
1678435200000,2023-03-10 15:00:00,1833.548,1837.226,1832.252,1833.461,3396
1678437000000,2023-03-10 15:30:00,1833.492,1836.511,1832.982,1835.089,2386
1678438800000,2023-03-10 16:00:00,1835.057,1836.492,1834.155,1835.35,1982
1678440600000,2023-03-10 16:30:00,1835.382,1836.856,1831.621,1831.621,2292
1678442400000,2023-03-10 17:00:00,1831.594,1834.975,1830.91,1834.868,1872
1678444200000,2023-03-10 17:30:00,1834.871,1835.012,1832.677,1832.784,1643
1678446000000,2023-03-10 18:00:00,1832.751,1835.916,1832.194,1835.916,1573
1678447800000,2023-03-10 18:30:00,1835.953,1836.876,1834.097,1834.91,1711
1678449600000,2023-03-10 19:00:00,1834.941,1835.943,1833.727,1835.7,1960
1678451400000,2023-03-10 19:30:00,1835.669,1837.277,1834.887,1836.652,2405
1678453200000,2023-03-10 20:00:00,1836.622,1836.948,1831.765,1833.585,3792
1678455000000,2023-03-10 20:30:00,1833.551,1844.999,1833.551,1842.451,12177
1678456800000,2023-03-10 21:00:00,1842.421,1849.678,1839.923,1849.432,7571
1678458600000,2023-03-10 21:30:00,1849.4,1860.283,1848.959,1858.418,10611
1678460400000,2023-03-10 22:00:00,1858.45,1864.483,1857.673,1864.004,7951
1678462200000,2023-03-10 22:30:00,1864.035,1867.404,1862.613,1863.028,6028
1678464000000,2023-03-10 23:00:00,1863.024,1863.961,1855.63,1856.088,5627
1678465800000,2023-03-10 23:30:00,1856.12,1860.127,1854.087,1855.313,6782
1678467600000,2023-03-11 00:00:00,1855.345,1862.643,1854.964,1862.601,4348
1678469400000,2023-03-11 00:30:00,1862.632,1865.097,1861.05,1864.218,3783
1678471200000,2023-03-11 01:00:00,1864.187,1865.369,1860.841,1862.762,3295
1678473000000,2023-03-11 01:30:00,1862.793,1865.314,1862.664,1862.853,2960
1678474800000,2023-03-11 02:00:00,1862.885,1864.902,1862.815,1863.255,2847
1678476600000,2023-03-11 02:30:00,1863.247,1864.01,1860.954,1863.818,3652
1678478400000,2023-03-11 03:00:00,1863.842,1865.971,1863.514,1865.423,3538
1678480200000,2023-03-11 03:30:00,1865.392,1869.991,1865.313,1869.734,2909
1678482000000,2023-03-11 04:00:00,1869.769,1870.031,1867.526,1868.038,1478
1678483800000,2023-03-11 04:30:00,1868.041,1868.373,1866.364,1867.109,1225
1678658400000,2023-03-13 05:00:00,1883.412,1894.368,1880.201,1883.802,10832
1678660200000,2023-03-13 05:30:00,1883.78,1886.557,1878.49,1883.881,4796
