timestamp,datetime,open,high,low,close,volume
1678384800000,2023-03-10 01:00:00,1829.265,1834.998,1828.191,1834.966,6173
1678388400000,2023-03-10 02:00:00,1834.928,1834.992,1830.347,1830.512,5056
1678392000000,2023-03-10 03:00:00,1830.545,1831.645,1828.954,1830.494,5102
1678395600000,2023-03-10 04:00:00,1830.524,1832.155,1830.415,1830.847,1711
1678402800000,2023-03-10 06:00:00,1831.341,1832.295,1830.617,1831.569,1724
1678406400000,2023-03-10 07:00:00,1831.565,1834.83,1831.356,1834.054,3504
1678410000000,2023-03-10 08:00:00,1834.047,1834.138,1830.095,1831.015,4133
1678413600000,2023-03-10 09:00:00,1831.045,1833.184,1828.075,1829.427,5508
1678417200000,2023-03-10 10:00:00,1829.394,1830.037,1828.306,1829.2,2994
1678420800000,2023-03-10 11:00:00,1829.202,1830.16,1827.702,1829.745,2769
1678424400000,2023-03-10 12:00:00,1829.737,1831.261,1828.53,1830.964,3033
1678428000000,2023-03-10 13:00:00,1830.93,1832.738,1830.164,1830.679,2956
1678431600000,2023-03-10 14:00:00,1830.663,1834.654,1830.663,1833.516,4989
1678435200000,2023-03-10 15:00:00,1833.548,1837.226,1832.252,1835.089,5782
1678438800000,2023-03-10 16:00:00,1835.057,1836.856,1831.621,1831.621,4274
1678442400000,2023-03-10 17:00:00,1831.594,1835.012,1830.91,1832.784,3515
1678446000000,2023-03-10 18:00:00,1832.751,1836.876,1832.194,1834.91,3284
1678449600000,2023-03-10 19:00:00,1834.941,1837.277,1833.727,1836.652,4365
1678453200000,2023-03-10 20:00:00,1836.622,1844.999,1831.765,1842.451,15969
1678456800000,2023-03-10 21:00:00,1842.421,1860.283,1839.923,1858.418,18182
1678460400000,2023-03-10 22:00:00,1858.45,1867.404,1857.673,1863.028,13979
1678464000000,2023-03-10 23:00:00,1863.024,1863.961,1854.087,1855.313,12409
1678467600000,2023-03-11 00:00:00,1855.345,1865.097,1854.964,1864.218,8131
1678471200000,2023-03-11 01:00:00,1864.187,1865.369,1860.841,1862.853,6255
1678474800000,2023-03-11 02:00:00,1862.885,1864.902,1860.954,1863.818,6499
1678478400000,2023-03-11 03:00:00,1863.842,1869.991,1863.514,1869.734,6447
1678482000000,2023-03-11 04:00:00,1869.769,1870.031,1866.364,1867.109,2703
1678658400000,2023-03-13 05:00:00,1883.412,1894.368,1878.49,1883.881,15628
1678662000000,2023-03-13 06:00:00,1883.928,1889.369,1875.749,1877.746,9751
1678665600000,2023-03-13 07:00:00,1877.716,1882.081,1875.181,1876.928,7630
1678669200000,2023-03-13 08:00:00,1876.919,1879.556,1872.137,1873.029,5963
1678672800000,2023-03-13 09:00:00,1872.997,1888.785,1872.435,1886.855,7219
1678676400000,2023-03-13 10:00:00,1886.848,1887.06,1882.322,1882.539,4508
1678680000000,2023-03-13 11:00:00,1882.572,1883.653,1881.428,1881.503,3155
1678683600000,2023-03-13 12:00:00,1881.506,1881.832,1877.041,1877.904,3936
1678687200000,2023-03-13 13:00:00,1877.939,1882.282,1873.368,1873.495,4618
1678690800000,2023-03-13 14:00:00,1873.529,1878.105,1871.496,1876.235,7019
1678694400000,2023-03-13 15:00:00,1876.231,1886.085,1875.449,1885.485,7412
1678698000000,2023-03-13 16:00:00,1885.518,1893.764,1884.22,1885.903,11518
1678701600000,2023-03-13 17:00:00,1885.87,1888.412,1881.303,1884.198,9510
1678705200000,2023-03-13 18:00:00,1884.177,1891.854,1880.891,1889.662,9284
1678708800000,2023-03-13 19:00:00,1889.631,1902.785,1887.177,1899.363,21066
1678712400000,2023-03-13 20:00:00,1899.397,1909.765,1893.527,1896.61,19621
1678716000000,2023-03-13 21:00:00,1896.569,1912.879,1896.229,1910.668,20190
1678719600000,2023-03-13 22:00:00,1910.638,1913.016,1902.816,1904.81,14432
1678723200000,2023-03-13 23:00:00,1904.78,1909.697,1903.313,1909.073,10807
1678726800000,2023-03-14 00:00:00,1909.104,1912.439,1908.542,1909.73,7190
1678730400000,2023-03-14 01:00:00,1909.74,1913.135,1908.012,1911.579,6358
1678734000000,2023-03-14 02:00:00,1911.61,1914.577,1907.92,1913.301,8040
1678737600000,2023-03-14 03:00:00,1913.263,1914.07,1911.692,1913.409,2989
1678744800000,2023-03-14 05:00:00,1913.563,1913.651,1909.909,1910.096,2388
1678748400000,2023-03-14 06:00:00,1910.094,1912.421,1909.909,1912.025,2490
1678752000000,2023-03-14 07:00:00,1912.055,1914.113,1910.156,1912.386,3742
1678755600000,2023-03-14 08:00:00,1912.395,1912.8,1905.343,1906.089,5235
1678759200000,2023-03-14 09:00:00,1906.057,1907.935,1904.028,1904.357,4014
1678762800000,2023-03-14 10:00:00,1904.392,1906.927,1902.565,1902.877,3399
1678766400000,2023-03-14 11:00:00,1902.894,1904.251,1901.569,1904.178,2928
1678770000000,2023-03-14 12:00:00,1904.147,1904.387,1901.454,1904.03,3485
1678773600000,2023-03-14 13:00:00,1904.075,1913.398,1903.755,1909.583,7137
1678777200000,2023-03-14 14:00:00,1909.615,1913.049,1908.739,1912.592,7648
1678780800000,2023-03-14 15:00:00,1912.557,1913.297,1900.595,1904.351,8833
1678784400000,2023-03-14 16:00:00,1904.382,1904.892,1900.816,1901.217,6523
1678788000000,2023-03-14 17:00:00,1901.184,1904.521,1900.834,1903.712,4764
1678791600000,2023-03-14 18:00:00,1903.675,1904.711,1902.681,1904.116,4752
1678795200000,2023-03-14 19:00:00,1904.149,1911.855,1898.614,1909.99,20521
1678798800000,2023-03-14 20:00:00,1910.021,1910.766,1895.228,1902.314,18238
1678802400000,2023-03-14 21:00:00,1902.346,1907.792,1900.136,1907.529,12322
1678806000000,2023-03-14 22:00:00,1907.559,1908.767,1903.945,1904.119,6876
1678809600000,2023-03-14 23:00:00,1904.089,1909.081,1902.167,1908.647,6030
1678813200000,2023-03-15 00:00:00,1908.678,1910.288,1905.412,1906.731,7309
1678816800000,2023-03-15 01:00:00,1906.732,1909.742,1906.177,1906.719,6446
1678820400000,2023-03-15 02:00:00,1906.688,1907.775,1902.198,1902.42,7064
1678824000000,2023-03-15 03:00:00,1902.453,1904.213,1902.453,1903.801,2421
1678831200000,2023-03-15 05:00:00,1904.265,1904.913,1903.929,1904.217,1265
1678834800000,2023-03-15 06:00:00,1904.251,1904.65,1902.938,1903.064,2014
1678838400000,2023-03-15 07:00:00,1903.055,1903.199,1899.925,1901.724,3869
1678842000000,2023-03-15 08:00:00,1901.693,1905.088,1901.531,1903.664,4082
1678845600000,2023-03-15 09:00:00,1903.667,1905.638,1903.414,1904.528,3820
1678849200000,2023-03-15 10:00:00,1904.53,1905.007,1902.365,1902.849,2692
1678852800000,2023-03-15 11:00:00,1902.844,1903.416,1900.936,1901.756,2327
1678856400000,2023-03-15 12:00:00,1901.754,1902.027,1899.138,1900.121,3337
1678860000000,2023-03-15 13:00:00,1900.106,1902.349,1898.586,1900.352,3536
1678863600000,2023-03-15 14:00:00,1900.383,1902.283,1896.302,1896.456,5288
1678867200000,2023-03-15 15:00:00,1896.423,1896.746,1885.584,1887.484,6771
1678870800000,2023-03-15 16:00:00,1887.494,1898.633,1886.621,1896.314,8692
1678874400000,2023-03-15 17:00:00,1896.315,1909.716,1896.198,1908.553,12898
1678878000000,2023-03-15 18:00:00,1908.588,1918.94,1905.135,1918.108,12462
1678881600000,2023-03-15 19:00:00,1918.075,1930.173,1916.967,1927.766,16409
1678885200000,2023-03-15 20:00:00,1927.732,1930.328,1917.347,1926.129,22353
1678888800000,2023-03-15 21:00:00,1926.096,1926.941,1917.498,1924.365,18293
1678892400000,2023-03-15 22:00:00,1924.42,1927.276,1921.56,1927.151,11158
1678896000000,2023-03-15 23:00:00,1927.183,1937.287,1924.985,1933.542,10124
1678899600000,2023-03-16 00:00:00,1933.527,1937.052,1921.716,1924.344,11892
1678903200000,2023-03-16 01:00:00,1924.312,1926.292,1908.969,1915.569,16238
1678906800000,2023-03-16 02:00:00,1915.602,1921.46,1914.882,1916.717,11366
1678910400000,2023-03-16 03:00:00,1916.684,1918.594,1916.128,1918.553,2390
1678917600000,2023-03-16 05:00:00,1918.508,1921.379,1918.396,1920.269,2730
1678921200000,2023-03-16 06:00:00,1920.305,1922.796,1919.998,1921.155,3421
1678924800000,2023-03-16 07:00:00,1921.145,1924.344,1913.151,1913.477,7412
1678928400000,2023-03-16 08:00:00,1913.44,1915.257,1907.298,1911.034,8188
1678932000000,2023-03-16 09:00:00,1911.025,1911.746,1909.367,1911.395,4640
1678935600000,2023-03-16 10:00:00,1911.398,1914.886,1910.622,1913.197,3968
1678939200000,2023-03-16 11:00:00,1913.208,1914.86,1912.708,1913.332,3289
1678942800000,2023-03-16 12:00:00,1913.295,1920.214,1912.189,1919.833,5000
1678946400000,2023-03-16 13:00:00,1919.865,1920.327,1914.464,1916.64,4583
1678950000000,2023-03-16 14:00:00,1916.607,1920.675,1912.415,1916.643,7289
1678953600000,2023-03-16 15:00:00,1916.673,1922.508,1915.759,1919.01,7594
1678957200000,2023-03-16 16:00:00,1919.04,1922.056,1917.633,1921.777,4859
1678960800000,2023-03-16 17:00:00,1921.787,1923.0,1918.619,1922.581,4352
1678964400000,2023-03-16 18:00:00,1922.611,1927.035,1922.215,1926.878,5082
1678968000000,2023-03-16 19:00:00,1926.908,1931.823,1924.419,1930.319,12630
1678971600000,2023-03-16 20:00:00,1930.349,1933.443,1923.222,1923.734,18631
1678975200000,2023-03-16 21:00:00,1923.764,1932.358,1919.66,1922.505,17085
1678978800000,2023-03-16 22:00:00,1922.474,1924.243,1913.335,1918.692,15744
1678982400000,2023-03-16 23:00:00,1918.648,1920.333,1914.332,1914.861,9815
1678986000000,2023-03-17 00:00:00,1914.892,1919.814,1914.565,1916.225,8013
1678989600000,2023-03-17 01:00:00,1916.26,1921.024,1916.26,1918.411,6196
1678993200000,2023-03-17 02:00:00,1918.377,1921.126,1918.194,1920.514,5448
1678996800000,2023-03-17 03:00:00,1920.546,1920.813,1918.466,1919.228,2257
1679004000000,2023-03-17 05:00:00,1919.406,1920.583,1919.159,1920.002,1373
1679007600000,2023-03-17 06:00:00,1920.012,1922.06,1919.558,1921.294,1988
1679011200000,2023-03-17 07:00:00,1921.306,1922.381,1918.414,1919.478,4053
1679014800000,2023-03-17 08:00:00,1919.511,1922.762,1918.196,1922.762,4336
1679018400000,2023-03-17 09:00:00,1922.763,1928.802,1922.106,1927.326,4107
1679022000000,2023-03-17 10:00:00,1927.343,1929.655,1927.076,1927.635,3711
1679025600000,2023-03-17 11:00:00,1927.653,1930.978,1927.209,1930.921,2865
1679029200000,2023-03-17 12:00:00,1930.951,1932.827,1929.056,1929.452,3575
1679032800000,2023-03-17 13:00:00,1929.442,1934.278,1927.976,1932.397,4149
1679036400000,2023-03-17 14:00:00,1932.363,1933.646,1928.967,1930.287,5912
1679040000000,2023-03-17 15:00:00,1930.318,1931.463,1927.331,1928.644,5661
